🔴  央视频道,#genre#
CCTV8 中央八套,http://222.85.69.6/PLTV/88888888/224/3221226548/10000100000000060000000000416346_0.smil/index.m3u8?
CCTV9 中央九套,http://222.85.69.6/PLTV/88888888/224/3221227078/index.m3u8?icpid=88888888&servicetype=1
CCTV9 中央九套,rtp://239.16.10.103:2000
CCTV9 中央九套,http://222.85.69.6/TVOD/88888888/224/3221227078/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV9 中央九套,http://222.85.69.6/TVOD/88888888/224/3221226545/10000100000000060000000000416347_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV9 中央九套,http://222.85.69.6/PLTV/88888888/224/3221227078/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV9 中央九套,http://222.85.69.6/PLTV/88888888/224/3221226545/10000100000000060000000000416347_0.smil/index.m3u8?
CCTV10 中央十套,http://222.85.69.6/PLTV/88888888/224/3221227043/index.m3u8?icpid=88888888&servicetype=1
CCTV10 中央十套,rtp://239.16.10.108:2000
CCTV10 中央十套,http://222.85.69.6/TVOD/88888888/224/3221227043/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV10 中央十套,http://222.85.69.6/TVOD/88888888/224/3221226542/10000100000000060000000000416348_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV10 中央十套,http://222.85.69.6/PLTV/88888888/224/3221227043/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV10 中央十套,http://222.85.69.6/PLTV/88888888/224/3221226542/10000100000000060000000000416348_0.smil/index.m3u8?
CCTV11 中央十一套,http://222.85.69.6/PLTV/88888888/224/3221227040/index.m3u8?icpid=88888888&servicetype=1
CCTV11 中央十一套,rtp://239.16.10.109:2000
CCTV11 中央十一套,http://222.85.69.6/TVOD/88888888/224/3221227040/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV11 中央十一套,http://222.85.69.6/TVOD/88888888/224/3221226511/10000100000000060000000000428956_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV11 中央十一套,http://222.85.69.6/PLTV/88888888/224/3221227040/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV11 中央十一套,http://222.85.69.6/PLTV/88888888/224/3221226511/10000100000000060000000000428956_0.smil/index.m3u8?
CCTV12 中央十二套,http://222.85.69.6/PLTV/88888888/224/3221227044/index.m3u8?icpid=88888888&servicetype=1
CCTV12 中央十二套,rtp://239.16.10.110:2000
CCTV12 中央十二套,http://222.85.69.6/TVOD/88888888/224/3221227044/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV12 中央十二套,http://222.85.69.6/TVOD/88888888/224/3221226514/10000100000000060000000000428961_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV12 中央十二套,http://222.85.69.6/PLTV/88888888/224/3221227044/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV12 中央十二套,http://222.85.69.6/PLTV/88888888/224/3221226514/10000100000000060000000000428961_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV13 中央十三套,http://222.85.69.6/PLTV/88888888/224/3221227041/index.m3u8?icpid=88888888&servicetype=1
CCTV13 中央十三套,rtp://239.16.10.111:2000
CCTV13 中央十三套,http://222.85.69.6/TVOD/88888888/224/3221227041/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV13 中央十三套,http://222.85.69.6/TVOD/88888888/224/3221226508/10000100000000060000000000428965_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV13 中央十三套,http://222.85.69.6/PLTV/88888888/224/3221227041/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV13 中央十三套,http://222.85.69.6/PLTV/88888888/224/3221226508/10000100000000060000000000428965_0.smil/index.m3u8?
CCTV14 中央十四套,http://222.85.69.6/PLTV/88888888/224/3221227038/index.m3u8?icpid=88888888&servicetype=1
CCTV14 中央十四套,rtp://239.16.10.112:2000
CCTV14 中央十四套,http://222.85.69.6/TVOD/88888888/224/3221227038/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV14 中央十四套,http://222.85.69.6/TVOD/88888888/224/3221226517/10000100000000060000000000428967_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV14 中央十四套,http://222.85.69.6/PLTV/88888888/224/3221227038/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV14 中央十四套,http://222.85.69.6/PLTV/88888888/224/3221226517/10000100000000060000000000428967_0.smil/index.m3u8?
CCTV15 中央十五套,http://222.85.69.6/PLTV/88888888/224/3221227037/index.m3u8?icpid=88888888&servicetype=1
CCTV15 中央十五套,rtp://239.16.10.113:2000
CCTV15 中央十五套,http://222.85.69.6/TVOD/88888888/224/3221227037/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV15 中央十五套,http://222.85.69.6/TVOD/88888888/224/3221226520/10000100000000060000000000428969_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV15 中央十五套,http://222.85.69.6/PLTV/88888888/224/3221227037/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV15 中央十五套,http://222.85.69.6/PLTV/88888888/224/3221226520/10000100000000060000000000428969_0.smil/index.m3u8?
CCTV17 中央十七套,http://222.85.69.6/PLTV/88888888/224/3221227072/index.m3u8?icpid=88888888&servicetype=1
CCTV17 中央十七套,rtp://239.16.10.129:2000
CCTV17 中央十七套,http://222.85.69.6/TVOD/88888888/224/3221227072/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV17 中央十七套,http://222.85.69.6/TVOD/88888888/224/3221226551/10000100000000060000000000416344_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV17 中央十七套,http://222.85.69.6/PLTV/88888888/224/3221227072/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV17 中央十七套,http://222.85.69.6/PLTV/88888888/224/3221226551/10000100000000060000000000416344_0.smil/index.m3u8?
🔵  卫视频道,#genre#
北京卫视,http://222.85.69.6/PLTV/88888888/224/3221227036/index.m3u8?icpid=88888888&servicetype=1
北京卫视,rtp://239.16.10.10:2000
北京卫视,http://222.85.69.6/TVOD/88888888/224/3221227036/index.m3u8?icpid=88888888&servicetype=3&playseek=
北京卫视,http://222.85.69.6/TVOD/88888888/224/3221226410/10000100000000060000000000398814_0.smil/index.m3u8?fmt=ts2hls&servicetype=
北京卫视,http://222.85.69.6/PLTV/88888888/224/3221227036/index.m3u8?icpid=88888888&servicetype=2&npt=
北京卫视,http://222.85.69.6/PLTV/88888888/224/3221226410/10000100000000060000000000398814_0.smil/index.m3u8?
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8?icpid=88888888&servicetype=1
天津卫视,rtp://239.16.10.30:2000
天津卫视,http://222.85.69.6/TVOD/88888888/224/3221227054/index.m3u8?icpid=88888888&servicetype=3&playseek=
天津卫视,http://222.85.69.6/TVOD/88888888/224/3221226488/10000100000000060000000000400018_0.smil/index.m3u8?fmt=ts2hls&servicetype=
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8?icpid=88888888&servicetype=2&npt=
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221226488/10000100000000060000000000400018_0.smil/index.m3u8?
东方卫视,http://222.85.69.6/PLTV/88888888/224/3221227020/index.m3u8?icpid=88888888&servicetype=1
东方卫视,rtp://239.16.10.7:2000
东方卫视,http://222.85.69.6/TVOD/88888888/224/3221227020/index.m3u8?icpid=88888888&servicetype=3&playseek=
东方卫视,http://222.85.69.6/TVOD/88888888/224/3221226592/10000100000000060000000000527306_0.smil/index.m3u8?fmt=ts2hls&servicetype=
东方卫视,http://222.85.69.6/PLTV/88888888/224/3221227020/index.m3u8?icpid=88888888&servicetype=2&npt=
东方卫视,http://222.85.69.6/PLTV/88888888/224/3221226592/10000100000000060000000000527306_0.smil/index.m3u8?fmt=ts2hls&servicetype=
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221227029/index.m3u8?icpid=88888888&servicetype=1
深圳卫视,rtp://239.16.10.11:2000
深圳卫视,http://222.85.69.6/TVOD/88888888/224/3221227029/index.m3u8?icpid=88888888&servicetype=3&playseek=
深圳卫视,http://222.85.69.6/TVOD/88888888/224/3221226413/10000100000000060000000000398816_0.smil/index.m3u8?fmt=ts2hls&servicetype=
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221227029/index.m3u8?icpid=88888888&servicetype=2&npt=
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221226413/10000100000000060000000000398816_0.smil/index.m3u8?
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8?icpid=88888888&servicetype=1
重庆卫视,rtp://239.16.10.13:2000
